2

2

223

16,20,20,24,22,19,12,13,19,14,15,21,19,16,16,19,19,24,19,18,19,22,26,18,23,21,18,23,15,21,24,15,14,22,26,21,24,21,19,14,23,17,21,16,16,19,18,23,14,15,15,15,15,20,18,22,17,19,20,23,17,13,20,27,23,21,27,26,20,16,17,24,14,16,25,16,16,20,18,19,12,17,23,21,14,16,16,17,23,16,16,21,21,12,18,17,26,19,21,17,19,12,12,29,14,19,18,19,23,16,21,18,13,21,19,18,21,19,18,14,21,17,17,12,17,19,16,17,18,11,16,22,14,15,25,16,13,11,24,21,18,20,12,19,24,25,25,14,26,12,16,22,16,17,15,19,16,14,15,18,17,22,12,18,12,18,13,22,15,20,23,20,15,24,21,21,12,17,23,21,13,24,20,18,29,13,17,11,25,18,22,18,24,23,13,26,24,13,16,15,22,12,20,28,20,15,16,17,19,16,15,17,22,18,17,14,14,15,18,18,18,24,19

10,13,13,16,14,12,8,8,12,9,10,14,12,10,10,12,12,16,12,12,12,14,17,12,15,14,12,15,10,14,16,10,9,14,17,14,16,14,12,9,15,11,14,10,10,12,12,15,9,10,10,10,10,13,12,14,11,12,13,15,11,8,13,18,15,14,18,17,13,10,11,16,9,10,16,10,10,13,12,12,8,11,15,14,9,10,10,11,15,10,10,14,14,8,12,11,17,12,14,11,12,8,8,19,9,12,12,12,15,10,14,12,8,14,12,12,14,12,12,9,14,11,11,8,11,12,10,11,12,7,10,14,9,10,16,10,8,7,16,14,12,13,8,12,16,16,16,9,17,8,10,14,10,11,10,12,10,9,10,12,11,14,8,12,8,12,8,14,10,13,15,13,10,16,14,14,8,11,15,14,8,16,13,12,19,8,11,7,16,12,14,12,16,15,8,17,16,8,10,10,14,8,13,18,13,10,10,11,12,10,10,11,14,12,11,9,9,10,12,12,12,16,12

20,26,26,32,28,24,16,16,24,18,20,28,24,20,20,24,24,32,24,24,24,28,34,24,30,28,24,30,20,28,32,20,18,28,34,28,32,28,24,18,30,22,28,20,20,24,24,30,18,20,20,20,20,26,24,28,22,24,26,30,22,16,26,36,30,28,36,34,26,20,22,32,18,20,32,20,20,26,24,24,16,22,30,28,18,20,20,22,30,20,20,28,28,16,24,22,34,24,28,22,24,16,16,38,18,24,24,24,30,20,28,24,16,28,24,24,28,24,24,18,28,22,22,16,22,24,20,22,24,14,20,28,18,20,32,20,16,14,32,28,24,26,16,24,32,32,32,18,34,16,20,28,20,22,20,24,20,18,20,24,22,28,16,24,16,24,16,28,20,26,30,26,20,32,28,28,16,22,30,28,16,32,26,24,38,16,22,14,32,24,28,24,32,30,16,34,32,16,20,20,28,16,26,36,26,20,20,22,24,20,20,22,28,24,22,18,18,20,24,24,24,32,24

2680

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

